id,content,sentiment
408,রঙিন এর মাঝে এল ঝলক সাদা কালো.... মন্দ নয়,neutral
409,স্মৃতি কখনো মন্দ হতে পারে না,neutral
410,যদি মনের অনুভুতি ঠিক থাকে তাহলে সম্পর্কটাও থাকে আজীবন।,neutral
411,রোগা হয়ে গিয়েছো তো অনেক,neutral
412,সময় পেলে শ্রীমতীর খবর ফোন করে জানাবে,neutral
413,"এমনই বরষা ছিল সেদিন, শিয়রে প্রদীপ ছিল মলিন",neutral
414,হ্যাঁ আমি খুশি আমি বাঙ্গালী কিন্তু গর্বিত নই,neutral
415,প্রত্যেকেই নিজের মতো করে লড়াই করে,neutral
416,বাস্তব স্বপ্ন দেখায় না,neutral
417,লোকের কথায় কান দিও না,neutral
418,হয় জিতবে না হয় শিখবে,neutral
419,হাল ছেড়ো না বন্ধু,neutral
420,মানুষ বড়োই আজব,neutral
421,ট্রেন্ড এখন আর ফলো করি না,neutral
422,সেই সময় লিখেছিলাম,neutral
423,আসলে মাদার্স ডে বা মায়ের দিন বলে কিছু হয় না,neutral
424,প্রত্যেকটা দিনই তো মায়ের দিন,neutral
425,"যা আজকে অসম্ভব বলে মনে হচ্ছে, সেটাই কিছুদিন পরে সম্ভবের তালিকায় স্থান পায়",neutral
426,আপনি মানুষ চেনার চেষ্টা চালিয়ে যান,neutral
427, ভাল খারাপ সবকিছুই মিলিয়ে একটা মানুষ হয়,neutral
428,শুধু ভাল বা খারাপ একটা মানুষ কখনোই হয় না,neutral
429,ধীরে ধীরে ওষুধেই সেরে যাবে,neutral
430,জোর করে সত্যিই কি যার প্রাণ নেই তাকে বাঁচিয়ে রাখা যায়?,neutral
431,আমি ই কি একমাত্র যে এদের কাওকেই চিনি না,neutral
432,ব্যপারটা নিজেদের মধ্যে সর্ট করে নিলেই তো হয়,neutral
433,বললে অনেক কিছুই বলা যায়,neutral
434,নিজেদের ব্যাপার নিজেরা মেটানো ভাল,neutral
435,আরে জীবনের কিছুই শেষ হয়ে যায়নি,neutral
436,নতুন করে শুরু করো,neutral
437,এখন practice করতে করতে অনেক টাই আয়ত্তে এসেছে,neutral
438,আমারও আপনার মত সেম অবস্থা ছিল,neutral
439,লোকে আমায় বোকা পাগল এসব বলে,neutral
440,আমরা তো আবহাওয়ার অতিথি,neutral
441,মিশিগান স্টেট ইউনিভার্সিটির (এমএসইউ) গবেষকরা মূলত ২০১৪ সালে প্রথম সম্পূর্ণ স্বচ্ছ সৌর কনসেনট্রেটর তৈরি করেছিলেন।,neutral
442,ছবিটি দেখে ভারতের মনে হচ্ছে,neutral
443,সমগ্র মহাবিশ্ব একটি জীবন্ত জীব।,neutral
444,বৈশাখ মাসের ভোরবেলাতেও বিভিন্ন অঞ্চলে ঘন কুয়াশা দেখা যাচ্ছে,neutral
445,জলবায়ু পরিবর্তনের সাথে সাথে আরো যে কত কিছু পরিবর্তন হবে এগুলি গবেষণার ব্যাপার,neutral
446,হিউমিডিটি সকালে এরকম কুয়াশা পড়লে প্রচুর গরম ফিল হবে,neutral
447,অনেক বছর আগেই উনার কাজ দেখে এসেছি,neutral
448,দেখতে হবেতো বাড়ি তার কোন জেলায়,neutral
449,উনি এই দেশের মন্ত্রী তা এই ঘটনার পর চিনলাম,neutral
450,আমার এক বন্ধু রেলের বুকিং সহকারীতে জব করে,neutral
451,যাত্রীর বিস্তারিত পরিচয় প্রকাশ করা হোক,neutral
452,ফেরাউনের বংশ ধরেরা কেজির ওজনে বিক্রি করে সংসার জীবন চালায়,neutral
453,আগে BBC মানে সর্বোচ্চ কোয়ালিটি ভাবতাম,neutral
454,দাম এক আকাশ সমান উচ্চতায়,neutral
455,যুদ্ধ হচ্ছে রাশিয়া আর আমেরিকার মাঝে আর ভেনূ হচ্ছে ইউক্রেন,neutral
456,সব জায়গায় কমেডি করলে চলে না,neutral
457,বিবিসি এখন ব্যাক্তিগত আক্রমণ নিয়ে ব্যাস্ত,neutral
458,দিল্লির মৌসুম ভবন গতকাল জানিয়েছে যে ঝড়ের সম্ভাব্য গতি মুখ উড়িশা ও অন্ধ্র উপকূল,neutral
459,আগের বার ঝড় আসেনি তাই এই নাম দিয়েছে যেন এবার অন্তত আসতে ভুল না হয়,neutral
460,এই দেশে সবেই সম্ভব,neutral
461,এখন DNA টেস্ট করা সময়ের দাবি,neutral
462,ব্রিটিশরাই তো বর্তমান পৃথিবীতে তৈরি ৯০% সমস্যার পেছনে দায়ী,neutral
463,ইহুদিদের পরিকল্পনা অনুযায়ী বিশ্বযুদ্ধের মাধ্যমে বিশ্বের কাঠামো তাদের পক্ষে নেয়া হয়েছে,neutral
464,বর্তমানে আমেরিকা যা করছে একসময় ব্রিটিশরা তাই করত,neutral
465,এক সময় সব সম্রাজ্যের পতন হয়।,neutral
466,উসমানীয়দের প্রথম ভূল ছিলো প্রথম বিশ্বযুদ্ধে জড়িয়ে পরা,neutral
467,পূথিবীর কোন সম্রাজ্য টিকে থাকতে পারেনি,neutral
468,"পৃথীবিতে কারো ক্ষমতা চিরস্থায়ী হয় নাই,আর হবেও না",neutral
469,ইতিহাস পড়তে আসি নাই গড়তে আসছি বুঝলে,neutral
470,আমি আগে কমেন্ট করেছি,neutral
471,সংবাদদাতা নিরপেক্ষ হওয়া উচিৎ,neutral
472,আদার ব্যাপারী হয়ে জাহাজের খবর না রাখলেও চলবে,neutral
473,রোজ একি কথা,neutral
474,রাশিয়াকে ব্যস্ত রেখে অর্থনৈতিক ক্ষতি করে আমেরিকা সফল হলো ,neutral
475,সকল সম্ভাবনার এই দেশে সকল কিছুই সম্ভব,neutral
476,হতাশ হওয়ার কোনো কারণ নেই।,neutral
477,আগামীতে আমার ঘরে ঐরকম হবে মনে হচ্ছে,neutral
478,আমার একসাথে খাওয়ার অভ্যাস নাই,neutral
479,বড় বড় দেশে এই ধরনের ছোট ছোট দুই একটা ঘটনা হতেই পারে,neutral
480,বিতর্কের যৌক্তিক কারণ আছে যে,neutral
481,রাশিয়ার অনেক নাগরিক দুবাইতে চাকরি করে,neutral
482,কেউই কারো জন্য বসে থাকেনা,neutral
483,আমার কথাও একটু বলবেন,neutral
484,সেখানে মার্কিন সেনা ঘাঁটি,neutral
485,পৃথিবীর অনেক দেশই পারমানবিক শক্তিধর,neutral
486,একটি দেশের সব দেশের সাথে সম্পর্ক থাকতে হবে এমন তো কোন নিয়ম বা সংবিধান নেই,neutral
487,আমার মনে হয় কিছু ই হবেনা,neutral
488,ধোঁয়ায় ঢাকা চুলায় কাবাব বানাচ্ছেন কাশ্মীরের একজন খাবার বিক্রেতা,neutral
489,জন্মেছি নীরবে মৃত্যুবরণ করবোও নীরবে,neutral
490,আমিও জানতানা জে উনি একজন এমপি,neutral
491,সেদিকে আমাদের নজর নেই,neutral
492,মাদক দূরের কথা বিড়ি-সিগারেটও খাই না,neutral
493,কার্তিকের জন্য স্বেচ্ছায় আউট হতে চেয়েছিলেন ডু প্লেসি,neutral
494,ইউক্রেনে বিশেষ সামরিক অভিযান ছিল একমাত্র সঠিক সিদ্ধান্ত: পুতিন,neutral
495,বিশ্ববাজারে তেলের দাম বেড়েছে,neutral
496,আমি দেখছি,neutral
497,১৭০ টা কাজ করলেই তো যথেষ্ট,neutral
498,গতকাল দুই বন্ধু মিলে মালবাজার গিয়েছিলাম,neutral
499,ফেরার সময় বাসে উঠে সিটে বসলাম,neutral
500,মানুষের কত্ত রকমের স্বপ্ন থাকতে পারে রে ভাই,neutral

#positive
501,একটা ভালো খবর দেখলাম সারাদিনে,positive
502,উনি অসাধারণ প্রতিভাবান যন্ত্র শিল্পী,positive
503,এরাই দেশের রত্ন,positive
504,শ্রদ্বা ও ভালবাসা অবিরাম,positive
505,সাবাস এগিয়ে যান আমরা আছি আপনার সাথে,positive
506,এরাইতো দেশের প্রকৃত সুর্য সন্তান,positive
507,ভালোবাসা রইলো উনার জন্য,positive
508,তার অসাধারণ প্রতিভা,positive
509,স্যলুট জানাই অনাকে,positive
510,এ সব মানুষ আমার খুব প্রিয়,positive
511,ভাইয়ের জন্য শুভকামনা রহিল,positive
512,উনি খুব ভালো মানুষ,positive
513,ভারতের উন্নত মানের তরমুজের বীজ আজ বাংলাদেশের কৃষকের মুখে হাসি ফুটিয়েছে,positive
514,সুন্দর উপস্থাপনার জন্য বিবিসি বাংলাকে অসংখ্য ধন্যবাদ।,positive
515,সত্যিকারের সাহসী মানুষ,positive
516,ভগবান সবার মঙ্গল করুক,positive
517,শুভকামনা রইলো,positive
518,আমার কাছে বিষয়টি ভালো লেগেছে,positive
519,ভালো কাজ হয়েছে,positive

#negative
520,কিছু অমানুষের কারনেই আজ তার বদনাম,negative
521,মন্ত্রী সাজা পাওয়ার উপযুক্ত,negative
522,কেন মিথ্যা তথ্য দিয়ে জাতি কে বিভ্রান্ত করছিলেন,negative
523,টিকিট ছাড়া রেল ভ্রমনের অপরাধে তাদেরও শাস্তির আওতায় আনা হোক,negative
524,"এ এক অভিশপ্ত তরমুজ যা কৃষককে ঠকিয়ে,মধ্যস্বত্বভোগীদেরকে হাসিয়ে ভোক্তাদেরকে রীতিমতো কাঁদায়",negative
525,মানুষের ব্যক্তি স্বাধীনতার উপর হস্তক্ষেপের তীব্র নিন্দা জানাই,negative
526,পৃথিবীর সব পরাশক্তিই বিপদজনক,negative
527,তাদেরকে নিয়ন্ত্রণ করা কারো সাধ্য নাই,negative
528,পশ্চিমাদের জন্য ভয়াবহ,negative
529,বড়ই চিন্তার বিষয়,negative





